Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,frc-Message.UpperCasePitchDelta,Integer,20,
,frc-Message.Parent,text,Global,
,frc-Message.VoiceName,text,Reed,
,frc-Message.SynthLangString,text,French Canadian,
,frc-PCCursor.DisplayName,text,PC Cursor,
,frc-PCCursor.Rate,"range(40,150)",57,
,frc-PCCursor.Pitch,"range(1,100)",65,
,frc-PCCursor.Volume,"range(0,100)",100,
,frc-PCCursor.Punctuation,"range(0,3)",2,
,frc-PCCursor.SpellRateDelta,Integer,-20,
,frc-PCCursor.UpperCasePitchDelta,Integer,20,
,frc-PCCursor.Parent,text,Global,
,frc-PCCursor.VoiceName,text,Reed,
,frc-PCCursor.SynthLangString,text,French Canadian,
,ita-Global.DisplayName,text,Generale,
,ita-Global.Rate,"range(40,150)",57,
,ita-Global.Pitch,"range(1,100)",65,
,ita-Global.Volume,"range(0,100)",100,
,ita-Global.Punctuation,"range(0,3)",2,
,ita-Global.SpellRateDelta,Integer,-20,
,ita-Global.UpperCasePitchDelta,Integer,20,
,ita-Global.Parent,text,None,
,ita-Global.VoiceName,text,Reed,
,ita-Global.SynthLangString,text,Italian,
,ita-JAWSCursor.DisplayName,text,Cursore Jaws,
,ita-JAWSCursor.Rate,"range(40,150)",57,
,ita-JAWSCursor.Pitch,"range(1,100)",58,
,ita-JAWSCursor.Volume,"range(0,100)",100,
,ita-JAWSCursor.Punctuation,"range(0,3)",2,
,ita-JAWSCursor.SpellRateDelta,Integer,-20,
,ita-JAWSCursor.UpperCasePitchDelta,Integer,20,
,ita-JAWSCursor.Parent,text,Global,
,ita-JAWSCursor.VoiceName,text,Glen,
,ita-JAWSCursor.SynthLangString,text,Italian,
,ita-Keyboard.DisplayName,text,Tastiera,
,ita-Keyboard.Rate,"range(40,150)",57,
,ita-Keyboard.Pitch,"range(1,100)",65,
,ita-Keyboard.Volume,"range(0,100)",100,
,ita-Keyboard.Punctuation,"range(0,3)",2,
,ita-Keyboard.SpellRateDelta,Integer,-20,
,ita-Keyboard.UpperCasePitchDelta,Integer,20,
,ita-Keyboard.Parent,text,Global,
,ita-Keyboard.VoiceName,text,Reed,
,ita-Keyboard.SynthLangString,text,Italian,
,ita-MenuAndDialog.DisplayName,text,Menu e finestre di dialogo,
,ita-MenuAndDialog.Rate,"range(40,150)",57,
,ita-MenuAndDialog.Pitch,"range(1,100)",65,
,ita-MenuAndDialog.Volume,"range(0,100)",100,
,ita-MenuAndDialog.Punctuation,"range(0,3)",2,
,ita-MenuAndDialog.SpellRateDelta,Integer,-20,
,ita-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,ita-MenuAndDialog.Parent,text,Global,
,ita-MenuAndDialog.VoiceName,text,Reed,
,ita-MenuAndDialog.SynthLangString,text,Italian,
,ita-Message.DisplayName,text,Messaggi,
,ita-Message.Rate,"range(40,150)",57,
,ita-Message.Pitch,"range(1,100)",60,
,ita-Message.Volume,"range(0,100)",100,
,ita-Message.Punctuation,"range(0,3)",0,
,ita-Message.SpellRateDelta,Integer,-20,
,ita-Message.UpperCasePitchDelta,Integer,20,
,ita-Message.Parent,text,Global,
,ita-Message.VoiceName,text,Reed,
,ita-Message.SynthLangString,text,Italian,
,ita-PCCursor.DisplayName,text,Cursore PC,
,ita-PCCursor.Rate,"range(40,150)",57,
,ita-PCCursor.Pitch,"range(1,100)",65,
,ita-PCCursor.Volume,"range(0,100)",100,
,ita-PCCursor.Punctuation,"range(0,3)",2,
,ita-PCCursor.SpellRateDelta,Integer,-20,
,ita-PCCursor.UpperCasePitchDelta,Integer,20,
,ita-PCCursor.Parent,text,Global,
,ita-PCCursor.VoiceName,text,Reed,
,ita-PCCursor.SynthLangString,text,Italian,
,ptb-Global.DisplayName,text,Global,
,ptb-Global.Rate,"range(40,150)",57,
,ptb-Global.Pitch,"range(1,100)",65,
,ptb-Global.Volume,"range(0,100)",100,
,ptb-Global.Punctuation,"range(0,3)",2,
,ptb-Global.SpellRateDelta,Integer,-20,
,ptb-Global.UpperCasePitchDelta,Integer,20,
,ptb-Global.Parent,text,None,
,ptb-Global.VoiceName,text,Reed,
,ptb-Global.SynthLangString,text,Brazilian Portuguese,
,ptb-JAWSCursor.DisplayName,text,JAWS Cursor,
,ptb-JAWSCursor.Rate,"range(40,150)",57,
